favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
46,Twitter Web Client,".@CatchaRUSSpy I would also say consider that the extensive stuff on RT in the declassified intelligence report is not, in fact, 'padding'.",CatchaRUSSpy,False,Mon Feb 13 01:58:48 +0000 2017,19,830959377372831744
31,Twitter Web Client,"of COURSE it's got NOTHING to do with some 'belief' that Russia is fighting ISIS. 
Flynn is a fool, but he knows th… https://t.co/Kz6t7JH2AA",,False,Mon Feb 13 02:01:11 +0000 2017,19,830959976252313600
69,Twitter Web Client,"Flynn knows perfectly well that Russia assists Islamists around the world, including in Iran, in Afghanistan and in… https://t.co/QQvI6Jx5Bq",,False,Mon Feb 13 02:01:50 +0000 2017,69,830960138035068931
38,Twitter Web Client,@DraculaHadGout @CatchaRUSSpy I didn't say he was manipulated. He was not. Flynn was and is a knowing and a willing asset.,DraculaHadGout,False,Mon Feb 13 02:47:00 +0000 2017,16,830971506364706818
1,Twitter Web Client,@ChrisDWilk what is that?,ChrisDWilk,False,Mon Feb 13 02:48:20 +0000 2017,0,830971841565118464
4,Twitter Web Client,@DraculaHadGout @CatchaRUSSpy respect Naveed greatly but disagree on Flynn.,DraculaHadGout,False,Mon Feb 13 02:50:08 +0000 2017,1,830972295774625792
17,Twitter Web Client,"@CatchaRUSSpy impossible, given his IC experience. He knows where Raqqa is located; that Russia funds AQ in Af, Iraq; supplies IS fighters.",CatchaRUSSpy,False,Mon Feb 13 02:51:00 +0000 2017,6,830972511827480577
160,Twitter Web Client,"#WeAreAllAdele

#CanWeDoThatWithTheElection",,False,Mon Feb 13 02:52:03 +0000 2017,47,830972775473016833
123,Twitter Web Client,"No, it wasn't apparently - but Rybolovev flew to Florida to meet Team Trump. Did you guys hook up @MichaelCohen212?… https://t.co/YcoUkqLUhi",,False,Mon Feb 13 02:55:48 +0000 2017,108,830973723050201090
74,Twitter Web Client,(that is to say it wasn't Rybolovev playing golf. It is likely MKATE's passengers met with Team Trump not actual Trump @MichaelCohen212),,False,Mon Feb 13 02:57:07 +0000 2017,52,830974053506752519
65,Twitter Web Client,I doubt very much Rybolovev or whatever money-laundering Bank of Cyprus FSB spies got off #MKATE would bother with Trump himself 1/2,,False,Mon Feb 13 02:57:53 +0000 2017,38,830974245945614342
178,Twitter Web Client,"Trump himself is an utter moron, and always watched. FSB will be meeting with handlers, as they did in Steele dossier. #MKATE",,False,Mon Feb 13 02:58:36 +0000 2017,117,830974424937541633
